001;овочі;Картопля;Україна;2024-06-01
002;молочні продукти;Молоко;Польща;2024-06-05
003;електроніка;Смартфон;Китай;
004;одяг;Куртка;Туреччина;
005;овочі;Помідори;Іспанія;2024-05-20
006;молочні продукти;Сир;Франція;2024-05-23
007;електроніка;Телевізор;Корея;
008;одяг;Штани;Італія;
009;овочі;Цибуля;Україна;2024-05-18
010;молочні продукти;Йогурт;Греція;2024-06-07
011;електроніка;Ноутбук;США;
012;одяг;Сукня;Франція;
013;овочі;Часник;Китай;2024-06-03
014;молочні продукти;Кефір;Білорусь;2024-06-10
015;електроніка;Планшет;Японія;
016;одяг;Шкарпетки;Туреччина;
017;овочі;Капуста;Україна;2024-06-02
018;молочні продукти;Масло;Німеччина;2024-05-26
019;електроніка;Монітор;Корея;
020;одяг;Футболка;Китай;
021;овочі;Морква;Польща;2024-06-08
022;молочні продукти;Сметана;Україна;2024-06-09
023;електроніка;Камера;США;
024;одяг;Шарф;Італія;
025;овочі;Огірки;Україна;2024-06-04
026;молочні продукти;Ряжанка;Польща;2024-05-20
027;електроніка;Принтер;Китай;
028;одяг;Шорти;Туреччина;
029;овочі;Буряк;Білорусь;2024-06-05
030;молочні продукти;Молоко;Нідерланди;2024-06-07
031;електроніка;Смарт-годинник;Японія;
032;одяг;Кросівки;Німеччина;
033;овочі;Перець;Іспанія;2024-06-06
034;молочні продукти;Сир;Україна;2024-05-24
035;електроніка;Навушники;США;
036;одяг;Рукавички;Китай;
037;овочі;Цвітна капуста;Туреччина;2024-05-30
038;молочні продукти;Йогурт;Польща;2024-06-01
039;електроніка;Фен;Корея;
040;одяг;Кепка;Італія;
041;овочі;Селера;Україна;2024-06-01
042;молочні продукти;Сир;Франція;2024-06-05
043;електроніка;Мікрохвильова піч;Китай;
044;одяг;Куртка;Туреччина;
045;овочі;Ріпа;Україна;2024-05-20
046;молочні продукти;Масло;Німеччина;2024-06-02
047;електроніка;Кавоварка;Італія;
048;одяг;Джинси;Китай;
049;овочі;Баклажани;Іспанія;2024-06-07
050;молочні продукти;Ряжанка;Україна;2024-06-03
